"STOP_NUMBER","ID_STOP","DISTANCE_BACK"
"6","15656","390"
"7","15660","540"
"8","15675","400"
"9","14906","410"
"10","14914","650"
"11","14919","480"
"12","14924","300"
"13","14928","690"
"14","14932","290"
"15","27171","270"
"16","27169","750"
"17","27167","610"
"18","27166","390"
"19","14981","630"
"20","14986","680"
"21","16784","730"
"22","15482","240"
"23","15484","680"
"24","16785","700"
"25","15490","330"
"26","15495","670"
"27","15499","430"
"28","15504","410"
"29","14968","620"
"30","15469","460"
"31","15555","770"
"32","16775","230"
"33","15537","550"
"34","15538","470"
"35","15541","520"
"36","15543","620"
